symbol,LTP,predicted_price,pChange,decision
ICICIBANK.NS,1278.85,1267.97,-0.85,Predicted Sell
HDFCBANK.NS,1742.1,1749.08,0.4,Predicted Watch
RELIANCE.NS,1305.0,1294.33,-0.82,Predicted Sell
INFY.NS,1803.05,1818.49,0.86,Predicted Watch
TCS.NS,4150.9,4139.15,-0.28,Predicted Sell
ITC.NS,478.0,478.5,0.1,Predicted Watch
HINDUNILVR.NS,2480.75,2480.48,-0.01,Predicted Sell
SBIN.NS,858.95,861.06,0.25,Predicted Watch
KOTAKBANK.NS,1746.9,1750.89,0.23,Predicted Watch
BAJFINANCE.NS,6900.0,6914.58,0.21,Predicted Watch
BHARTIARTL.NS,1573.7,1572.23,-0.09,Predicted Sell
ASIANPAINT.NS,2842.85,2839.23,-0.13,Predicted Sell
MARUTI.NS,11300.15,11228.94,-0.63,Predicted Sell
AXISBANK.NS,1159.9,1161.25,0.12,Predicted Watch
LT.NS,3642.0,3649.87,0.22,Predicted Watch
DMART.NS,3877.8,3888.46,0.27,Predicted Watch
SUNPHARMA.NS,1790.95,1798.65,0.43,Predicted Watch
ADANIGREEN.NS,1650.0,1640.59,-0.57,Predicted Sell
TITAN.NS,3120.85,3138.03,0.55,Predicted Watch
M&M.NS,2900.0,2890.66,-0.32,Predicted Sell
WIPRO.NS,563.0,570.07,1.26,Predicted Buy
ONGC.NS,265.7,264.55,-0.43,Predicted Sell
DIVISLAB.NS,5959.95,5994.58,0.58,Predicted Watch
HCLTECH.NS,1831.95,1843.51,0.63,Predicted Watch
ADANIENT.NS,2970.1,2965.15,-0.17,Predicted Sell
BAJAJFINSV.NS,1729.7,1728.21,-0.09,Predicted Sell
NTPC.NS,404.0,402.26,-0.43,Predicted Sell
ULTRACEMCO.NS,11069.8,11067.95,-0.02,Predicted Sell
TATACONSUM.NS,986.25,988.27,0.2,Predicted Watch
SBILIFE.NS,1589.85,1595.18,0.34,Predicted Watch
JSWSTEEL.NS,989.8,991.15,0.14,Predicted Watch
HEROMOTOCO.NS,4814.85,4805.07,-0.2,Predicted Sell
INDUSINDBK.NS,1058.0,1054.23,-0.36,Predicted Sell
COALINDIA.NS,435.35,432.9,-0.56,Predicted Sell
TECHM.NS,1653.0,1671.47,1.12,Predicted Watch
POWERGRID.NS,312.5,314.04,0.49,Predicted Watch
BPCL.NS,315.2,311.35,-1.22,Predicted Sell
SHREECEM.NS,24778.65,24687.21,-0.37,Predicted Sell
TATAMOTORS.NS,821.5,816.2,-0.65,Predicted Sell
ADANIPORTS.NS,1350.0,1354.59,0.34,Predicted Watch
EICHERMOT.NS,4875.0,4857.01,-0.37,Predicted Sell
BAJAJ-AUTO.NS,9856.65,9895.5,0.39,Predicted Watch
HDFCLIFE.NS,711.7,716.74,0.71,Predicted Watch
NESTLEIND.NS,2262.85,2267.8,0.22,Predicted Watch
CIPLA.NS,1582.8,1574.49,-0.53,Predicted Sell
GRASIM.NS,2565.0,2572.93,0.31,Predicted Watch
VEDL.NS,457.9,462.92,1.1,Predicted Watch
BRITANNIA.NS,5688.9,5678.42,-0.18,Predicted Sell
GAIL.NS,210.85,208.97,-0.89,Predicted Sell
SIEMENS.NS,7073.45,7049.82,-0.33,Predicted Sell
DABUR.NS,534.5,533.4,-0.21,Predicted Sell
HINDALCO.NS,648.9,657.42,1.31,Predicted Buy
SBICARD.NS,700.05,699.62,-0.06,Predicted Sell
ICICIPRULI.NS,712.0,719.71,1.08,Predicted Watch
PIDILITIND.NS,3158.35,3152.72,-0.18,Predicted Sell
HAVELLS.NS,1666.05,1659.23,-0.41,Predicted Sell
LUPIN.NS,2104.85,2127.05,1.05,Predicted Watch
BEL.NS,299.95,303.42,1.16,Predicted Watch
BANKBARODA.NS,263.0,260.77,-0.85,Predicted Sell
ABBOTINDIA.NS,28180.0,28520.06,1.21,Predicted Buy
TATASTEEL.NS,151.2,150.52,-0.45,Predicted Sell
BANDHANBNK.NS,181.59,180.9,-0.38,Predicted Sell
MUTHOOTFIN.NS,1824.0,1841.94,0.98,Predicted Watch
INDIGO.NS,3995.75,4015.02,0.48,Predicted Watch
BATAINDIA.NS,1337.35,1343.89,0.49,Predicted Watch
GLENMARK.NS,1657.35,1668.45,0.67,Predicted Watch
BIOCON.NS,327.85,328.81,0.29,Predicted Watch
MANAPPURAM.NS,153.9,153.22,-0.44,Predicted Sell
ESCORTS.NS,3643.65,3630.59,-0.36,Predicted Sell
LICHSGFIN.NS,638.0,637.81,-0.03,Predicted Sell
TORNTPHARM.NS,3155.5,3168.31,0.41,Predicted Watch
AMBUJACEM.NS,570.05,569.7,-0.06,Predicted Sell
IOC.NS,144.01,142.99,-0.71,Predicted Sell
IDFCFIRSTB.NS,66.4,66.45,0.08,Predicted Watch
JUBLFOOD.NS,596.35,597.76,0.24,Predicted Watch
COLPAL.NS,2910.0,2917.96,0.27,Predicted Watch
ACC.NS,2320.0,2320.84,0.04,Predicted Watch
APOLLOHOSP.NS,7424.85,7479.4,0.73,Predicted Watch
CHOLAFIN.NS,1283.0,1282.06,-0.07,Predicted Sell
GODREJCP.NS,1262.0,1255.91,-0.48,Predicted Sell
NAUKRI.NS,7903.0,7851.91,-0.65,Predicted Sell
CONCOR.NS,848.75,844.81,-0.46,Predicted Sell
NMDC.NS,238.94,241.05,0.88,Predicted Watch
PAGEIND.NS,45064.1,46158.99,2.43,Predicted Buy
IIFL.NS,452.0,450.18,-0.4,Predicted Sell
TATACHEM.NS,1120.25,1118.16,-0.19,Predicted Sell
ICICIGI.NS,1920.0,1916.17,-0.2,Predicted Sell
ASTRAL.NS,1788.0,1778.85,-0.51,Predicted Sell
AUBANK.NS,602.0,601.48,-0.09,Predicted Sell
MFSL.NS,1238.95,1238.12,-0.07,Predicted Sell
JINDALSTEL.NS,947.6,947.03,-0.06,Predicted Sell
BHEL.NS,244.5,243.56,-0.38,Predicted Sell
GODREJPROP.NS,2805.9,2817.18,0.4,Predicted Watch
ASHOKLEY.NS,215.05,213.73,-0.61,Predicted Sell
PNB.NS,106.64,106.44,-0.19,Predicted Sell
CANBK.NS,104.95,104.43,-0.5,Predicted Sell
TRENT.NS,6530.0,6443.59,-1.32,Predicted Sell
VOLTAS.NS,1766.95,1767.45,0.03,Predicted Watch
SUNTV.NS,761.05,757.18,-0.51,Predicted Sell
DALBHARAT.NS,1795.65,1792.71,-0.16,Predicted Sell
METROPOLIS.NS,2111.0,2116.25,0.25,Predicted Watch
POLYCAB.NS,6816.75,6787.8,-0.42,Predicted Sell
BAJAJELEC.NS,920.0,881.46,-4.19,Predicted Sell
MGL.NS,1437.85,1438.34,0.03,Predicted Watch
PETRONET.NS,346.95,338.02,-2.57,Predicted Sell
IGL.NS,437.0,436.6,-0.09,Predicted Sell
MRF.NS,121025.95,120566.79,-0.38,Predicted Sell
PIIND.NS,4694.5,4651.95,-0.91,Predicted Sell
BERGEPAINT.NS,516.25,516.74,0.09,Predicted Watch
DLF.NS,804.5,803.66,-0.1,Predicted Sell
INDHOTEL.NS,688.3,708.6,2.95,Predicted Buy
ZEEL.NS,124.8,123.99,-0.65,Predicted Sell
SUNDARMFIN.NS,4710.45,4699.45,-0.23,Predicted Sell
IDBI.NS,84.93,84.32,-0.72,Predicted Sell
SRF.NS,2374.5,2369.49,-0.21,Predicted Sell
INDIANB.NS,574.8,570.96,-0.67,Predicted Sell
EXIDEIND.NS,447.75,449.68,0.43,Predicted Watch
AIAENG.NS,3680.0,3639.2,-1.11,Predicted Sell
ALEMBICLTD.NS,134.2,133.55,-0.48,Predicted Sell
ALKEM.NS,5713.0,5749.64,0.64,Predicted Watch
ALOKINDS.NS,22.57,22.38,-0.84,Predicted Sell
ARVIND.NS,378.7,374.68,-1.06,Predicted Sell
ASHOKA.NS,238.75,238.58,-0.07,Predicted Sell
BALKRISIND.NS,2866.6,2857.42,-0.32,Predicted Sell
APOLLOTYRE.NS,498.3,496.64,-0.33,Predicted Sell
BEML.NS,4254.0,4268.39,0.34,Predicted Watch
BHARATFORG.NS,1446.65,1445.96,-0.05,Predicted Sell
BLISSGVS.NS,126.77,126.54,-0.18,Predicted Sell
BLUEBLENDS.NS,0.8,0,-100.0,Predicted Sell
BOSCHLTD.NS,35369.65,35462.34,0.26,Predicted Watch
CANFINHOME.NS,857.95,856.18,-0.21,Predicted Sell
CARBORUNIV.NS,1429.25,1420.4,-0.62,Predicted Sell
CASTROLIND.NS,211.5,210.5,-0.47,Predicted Sell
CESC.NS,185.89,185.21,-0.37,Predicted Sell
COROMANDEL.NS,1777.45,1784.5,0.4,Predicted Watch
CROMPTON.NS,390.7,391.42,0.18,Predicted Watch
CUMMINSIND.NS,3554.55,3556.26,0.05,Predicted Watch
DEEPAKNTR.NS,2806.0,2791.78,-0.51,Predicted Sell
CYIENT.NS,1921.9,1916.46,-0.28,Predicted Sell
DHANUKA.NS,1613.3,1625.29,0.74,Predicted Watch
DRREDDY.NS,1287.35,1279.54,-0.61,Predicted Sell
FDC.NS,520.0,516.9,-0.6,Predicted Sell
ECLERX.NS,3290.0,3264.43,-0.78,Predicted Sell
ENDURANCE.NS,2437.0,2417.14,-0.81,Predicted Sell
FINEORG.NS,5140.0,5073.4,-1.3,Predicted Sell
GILLETTE.NS,10002.8,9964.13,-0.39,Predicted Sell
GLAXO.NS,2614.0,2591.88,-0.85,Predicted Sell
HATSUN.NS,1146.0,1141.03,-0.43,Predicted Sell
GRINDWELL.NS,2191.15,2182.9,-0.38,Predicted Sell
HINDCOPPER.NS,290.95,290.63,-0.11,Predicted Sell
HINDPETRO.NS,395.6,390.32,-1.33,Predicted Sell
HUDCO.NS,226.8,225.17,-0.72,Predicted Sell
HINDZINC.NS,508.0,511.72,0.73,Predicted Watch
IDEA.NS,8.05,8.03,-0.25,Predicted Sell
IRCON.NS,214.9,209.14,-2.68,Predicted Sell
IRCTC.NS,844.05,841.24,-0.33,Predicted Sell
JAMNAAUTO.NS,111.37,111.42,0.04,Predicted Watch
JKCEMENT.NS,4073.8,4096.01,0.55,Predicted Watch
JBCHEPHARM.NS,1861.75,1857.77,-0.21,Predicted Sell
JUSTDIAL.NS,1138.5,1133.25,-0.46,Predicted Sell
JYOTHYLAB.NS,496.0,493.06,-0.59,Predicted Sell
JSWENERGY.NS,714.55,711.01,-0.5,Predicted Sell
KEC.NS,1042.8,1037.89,-0.47,Predicted Sell
KARURVYSYA.NS,231.55,229.03,-1.09,Predicted Sell
KNRCON.NS,297.0,293.82,-1.07,Predicted Sell
KRBL.NS,286.4,284.54,-0.65,Predicted Sell
LTTS.NS,5143.1,5185.13,0.82,Predicted Watch
MAHSCOOTER.NS,10290.45,10389.69,0.96,Predicted Watch
LUXIND.NS,1996.0,1980.23,-0.79,Predicted Sell
LALPATHLAB.NS,3072.0,3083.06,0.36,Predicted Watch
MARICO.NS,633.0,634.02,0.16,Predicted Watch
MCX.NS,6422.6,6455.64,0.51,Predicted Watch
MPHASIS.NS,2842.5,2864.93,0.79,Predicted Watch
MRPL.NS,166.34,164.14,-1.32,Predicted Sell
NESCO.NS,1009.0,1014.25,0.52,Predicted Watch
NETWORK18.NS,83.99,83.25,-0.88,Predicted Sell
NAM-INDIA.NS,719.05,716.12,-0.41,Predicted Sell
NIACL.NS,192.2,191.26,-0.49,Predicted Sell
NATCOPHARM.NS,1436.95,1428.0,-0.62,Predicted Sell
NCC.NS,318.4,309.93,-2.66,Predicted Sell
NOCIL.NS,283.0,280.92,-0.73,Predicted Sell
OBEROIRLTY.NS,2032.25,2042.44,0.5,Predicted Watch
OFSS.NS,11423.3,11596.62,1.52,Predicted Buy
ORIENTELEC.NS,244.3,241.04,-1.33,Predicted Sell
PFIZER.NS,5354.95,5315.16,-0.74,Predicted Sell
PERSISTENT.NS,5737.4,5748.22,0.19,Predicted Watch
PNBHOUSING.NS,967.65,964.2,-0.36,Predicted Sell
PRESTIGE.NS,1646.65,1640.18,-0.39,Predicted Sell
PRAJIND.NS,713.95,711.81,-0.3,Predicted Sell
RADICO.NS,2368.65,2367.94,-0.03,Predicted Sell
RAIN.NS,161.13,159.59,-0.96,Predicted Sell
RALLIS.NS,338.25,335.42,-0.84,Predicted Sell
RAMCOCEM.NS,876.4,873.95,-0.28,Predicted Sell
RAYMOND.NS,1614.0,1609.0,-0.31,Predicted Sell
RECLTD.NS,528.3,523.76,-0.86,Predicted Sell
RBLBANK.NS,170.7,169.69,-0.59,Predicted Sell
REDINGTON.NS,196.7,195.4,-0.66,Predicted Sell
RELAXO.NS,778.75,775.99,-0.35,Predicted Sell
SANOFI.NS,6564.0,6499.75,-0.98,Predicted Sell
SHILPAMED.NS,844.05,841.29,-0.33,Predicted Sell
ROUTE.NS,1498.2,1492.47,-0.38,Predicted Sell
SHOPERSTOP.NS,653.6,654.43,0.13,Predicted Watch
SIS.NS,392.35,392.58,0.06,Predicted Watch
SJVN.NS,114.65,113.93,-0.63,Predicted Sell
SKFINDIA.NS,5088.7,5094.22,0.11,Predicted Watch
STARCEMENT.NS,204.85,203.98,-0.42,Predicted Sell
STLTECH.NS,122.9,126.07,2.58,Predicted Buy
SUPRAJIT.NS,521.05,522.11,0.2,Predicted Watch
SYMPHONY.NS,1570.0,1595.97,1.65,Predicted Buy
TATAELXSI.NS,7145.0,7178.74,0.47,Predicted Watch
TATACOMM.NS,1805.8,1802.48,-0.18,Predicted Sell
TCI.NS,1217.3,1203.12,-1.16,Predicted Sell
THERMAX.NS,5099.35,5146.8,0.93,Predicted Watch
TORNTPOWER.NS,1752.0,1738.47,-0.77,Predicted Sell
UFLEX.NS,616.0,609.35,-1.08,Predicted Sell
TVSMOTOR.NS,2479.45,2475.73,-0.15,Predicted Sell
UBL.NS,1935.0,1932.52,-0.13,Predicted Sell
UNIONBANK.NS,120.05,119.0,-0.87,Predicted Sell
UPL.NS,567.4,565.6,-0.32,Predicted Sell
VARROC.NS,531.2,530.68,-0.1,Predicted Sell
VBL.NS,597.25,596.34,-0.15,Predicted Sell
VINATIORGA.NS,1927.3,1912.25,-0.78,Predicted Sell
WELCORP.NS,798.65,801.51,0.36,Predicted Watch
WHIRLPOOL.NS,2074.6,2072.4,-0.11,Predicted Sell
WOCKPHARMA.NS,1206.35,1215.93,0.79,Predicted Watch
YESBANK.NS,20.8,20.67,-0.62,Predicted Sell
ZENSARTECH.NS,736.0,736.93,0.13,Predicted Watch
